Stethoscope	ECG
-0.0375366	-0.0326538
-0.0289917	-0.0311279
-0.0128174	-0.0292969
-0.00701904	-0.0274658
0.0012207	-0.0262451
0.0143433	-0.0250244
0.043335	-0.0247192
0.0561523	-0.0241089
0.0308228	-0.0241089
0.0222778	-0.0250244
0.00793457	-0.0265503
-0.012207	-0.0268555
-0.0247192	-0.0256348
-0.0567627	-0.0228882
-0.0579834	-0.0183105
-0.0265503	-0.0131226
-0.00518799	-0.00610352
0.0128174	0.00427246
0.0262451	0.0186157
0.0170898	0.0354004
0.000305176	0.0537109
0.00488281	0.0720215
-0.00823975	0.090332
-0.0265503	0.109558
-0.0238037	0.1297
-0.015564	0.150757
0	0.170593
0.032959	0.189209
0.0442505	0.205994
0.0408936	0.219116
0.0482178	0.227661
0.0488281	0.229492
0.0430298	0.222778
0.0308228	0.206604
0.0100708	0.180054
-0.00793457	0.143127
-0.0164795	0.0979614
-0.0326538	0.0469971
-0.057373	-0.00549316
-0.071106	-0.0558472
-0.0756836	-0.100708
-0.0662231	-0.137939
-0.0534058	-0.1651
-0.0442505	-0.180969
-0.0357056	-0.184937
-0.0811768	-0.178223
-0.145569	-0.163574
-0.083313	-0.144958
0.0408936	-0.124512
0.154419	-0.104675
0.281677	-0.0866699
0.368958	-0.0714111
0.379944	-0.0601196
0.343323	-0.0527954
0.245056	-0.0482178
0.0613403	-0.045166
-0.159302	-0.043335
-0.369568	-0.0424194
-0.55481	-0.0424194
-0.634155	-0.0421143
-0.561829	-0.0415039
-0.397644	-0.0396729
-0.196533	-0.0375366
-0.00152588	-0.0357056
0.206604	-0.0341797
0.428162	-0.0326538
0.59082	-0.0314331
0.664978	-0.0302124
0.607605	-0.0292969
0.394287	-0.0280762
0.112305	-0.0268555
-0.150452	-0.0265503
-0.358276	-0.0262451
-0.479736	-0.0259399
-0.499268	-0.0253296
-0.450745	-0.0244141
-0.339966	-0.0231934
-0.177612	-0.0216675
-0.0183105	-0.020752
0.128174	-0.0201416
0.258484	-0.0195313
0.335083	-0.0189209
0.333862	-0.0186157
0.292358	-0.0183105
0.238953	-0.0170898
0.151672	-0.0152588
0.055542	-0.0140381
-0.0421143	-0.0134277
-0.157166	-0.012207
-0.238037	-0.0106812
-0.249023	-0.00976563
-0.223694	-0.00854492
-0.196838	-0.00701904
-0.133972	-0.00549316
-0.0546265	-0.00457764
0.0259399	-0.00366211
0.102844	-0.00335693
0.153809	-0.00274658
0.172729	-0.00244141
0.149841	-0.00213623
0.0961304	-0.0012207
0.0537109	-0.000305176
0.00244141	0.000915527
-0.03479	0.00183105
-0.0463867	0.00244141
-0.0552368	0.00335693
-0.0564575	0.00427246
-0.0561523	0.00488281
-0.0595093	0.00549316
-0.0521851	0.00610352
-0.0384521	0.00610352
-0.0137329	0.00579834
0.0137329	0.00610352
0.0244141	0.00671387
0.0558472	0.00762939
0.0695801	0.00854492
0.0524902	0.00915527
0.0424194	0.0100708
0.0192261	0.0112915
0.00366211	0.0128174
-0.00793457	0.0143433
-0.0180054	0.0152588
